name,Borough
MacDougal St & Prince St,Manhattan
Henry St & Degraw St,Brooklyn
Grand Army Plaza & Plaza St West,Brooklyn
Grand St & Greene St,Manhattan
Broadway & W 36 St,Manhattan
West Thames St,Other
Union Ave & Jackson St,Brooklyn
South St & Whitehall St,Manhattan
State St & Smith St,Brooklyn
E 15 St & 3 Ave,Manhattan
S Portland Ave & Hanson Pl,Brooklyn
W 43 St & 10 Ave,Manhattan
E 51 St & 1 Ave,Manhattan
5 Ave & E 63 St,Manhattan
S 4 St & Wythe Ave,Brooklyn
Pier 40 - Hudson River Park,Manhattan
3 Ave & Schermerhorn St,Brooklyn
Frederick Douglass Blvd & W 129 St,Manhattan
44 Dr & Jackson Ave,Queens
Lexington Ave & E 26 St,Manhattan
Johnson St & Gold St,Brooklyn
W 22 St & 8 Ave,Manhattan
Market St & Cherry St,Manhattan
E 44 St & 2 Ave,Manhattan
Front St & Gold St,Brooklyn
Cathedral Pkwy & Broadway,Manhattan
Washington Park,Brooklyn
St Nicholas Ave & Manhattan Ave,Manhattan
W 76 St & Columbus Ave,Manhattan
W 21 St & 6 Ave,Manhattan
E 115 St & Lexington Ave,Manhattan
Watts St & Greenwich St,Manhattan
12 St & 4 Ave,Brooklyn
W 70 St & Amsterdam Ave,Manhattan
W 15 St & 7 Ave,Manhattan
Douglass St & 3 Ave,Brooklyn
W 52 St & 11 Ave,Manhattan
8 Ave & W 33 St,Manhattan
Emerson Pl & Myrtle Ave,Brooklyn
3 St & 7 Ave,Brooklyn
11 Ave & W 27 St,Manhattan
N 12 St & Bedford Ave,Brooklyn
Vesey Pl & River Terrace,Manhattan
Fulton St & Adams St,Brooklyn
11 Ave & W 41 St,Manhattan
E 76 St & Park Ave,Manhattan
Hancock St & Bedford Ave,Brooklyn
Bank St & Hudson St,Manhattan
Berkeley Pl & 7 Ave,Brooklyn
W 52 St & 6 Ave,Manhattan
E 17 St & Broadway,Manhattan
Fulton St & William St,Manhattan
E 74 St & 1 Ave,Manhattan
E 53 St & 3 Ave,Manhattan
Degraw St & Hoyt St,Brooklyn
E 53 St & Madison Ave,Manhattan
Broadway & W 25 St,Manhattan
E 43 St & 2 Ave,Manhattan
6 St & 7 Ave,Brooklyn
Barrow St & Hudson St,Manhattan
Broadway & Roebling St,Brooklyn
Pike St & E Broadway,Manhattan
Dwight St & Van Dyke St,Brooklyn
Willoughby Ave & Walworth St,Brooklyn
E 66 St & Madison Ave,Manhattan
Warren St & Court St,Brooklyn
E 91 St & 2 Ave,Manhattan
Greene Ave & Throop Ave,Brooklyn
Franklin Ave & St Marks Ave,Brooklyn
Columbia St & Rivington St,Manhattan
Leonard St & Boerum St,Brooklyn
W 20 St & 8 Ave,Manhattan
E 53 St & Lexington Ave,Manhattan
10 St & 5 Ave,Brooklyn
2 Ave & E 122 St,Manhattan
Butler St & Court St,Brooklyn
Madison Ave & E 82 St,Manhattan
19 St & 24 Ave,Queens
5 St & 6 Ave,Brooklyn
10 St & 7 Ave,Brooklyn
E 58 St & Madison Ave,Manhattan
47 Ave & 31 St,Queens
Underhill Ave & Lincoln Pl,Brooklyn
E 97 St & 3 Ave,Manhattan
E 72 St & Park Ave,Manhattan
W 43 St & 6 Ave,Manhattan
E 11 St & 1 Ave,Manhattan
E 106 St & Madison Ave,Manhattan
Garfield Pl & 8 Ave,Brooklyn
Bayard St & Baxter St,Manhattan
West Drive & Prospect Park West,Brooklyn
North Moore St & Greenwich St,Manhattan
Stagg St & Union Ave,Brooklyn
West End Ave & W 94 St,Manhattan
Myrtle Ave & Lewis Ave,Brooklyn
Picnic Point,Manhattan
FDR Drive & E 35 St,Manhattan
W 116 St & Broadway,Manhattan
President St & Henry St,Brooklyn
1 Ave & E 110 St,Manhattan
Graham Ave & Conselyea St,Brooklyn
21 St & 43 Ave,Queens
Commerce St & Van Brunt St,Brooklyn
Willoughby Ave & Hall St,Brooklyn
Amsterdam Ave & W 119 St,Manhattan
W 22 St & 10 Ave,Manhattan
W 52 St & 5 Ave,Manhattan
Washington St & Gansevoort St,Manhattan
Broadway & Battery Pl,Manhattan
E 56 St & Madison Ave,Manhattan
Banker St & Meserole Ave,Brooklyn
Clinton Ave & Flushing Ave,Brooklyn
Crescent St & Broadway,Queens
Bayard St & Leonard St,Brooklyn
Cumberland St & Lafayette Ave,Brooklyn
E 81 St & Park Ave,Manhattan
E 77 St & 3 Ave,Manhattan
Greenpoint Ave & Manhattan Ave,Brooklyn
Laight St & Hudson St,Manhattan
Maiden Ln & Pearl St,Manhattan
DeKalb Ave & Hudson Ave,Brooklyn
Lexington Ave & E 111 St,Manhattan
McKibbin St & Manhattan Ave,Brooklyn
Lexington Ave & Classon Ave,Brooklyn
Smith St & 9 St,Brooklyn
Lawrence St & Willoughby St,Brooklyn
E 106 St & 1 Ave,Manhattan
W 53 St & 10 Ave,Manhattan
Carroll St & 5 Ave,Brooklyn
W 67 St & Broadway,Manhattan
Throop Ave & Myrtle Ave,Brooklyn
Lewis Ave & Madison St,Brooklyn
Nassau Ave & Russell St,Brooklyn
Jay St & York St,Brooklyn
Lenox Ave & W 111 St,Manhattan
3 Ave & E 112 St,Manhattan
5 Ave & 3 St,Brooklyn
Lewis Ave & Decatur St,Brooklyn
Clinton St & 4 Place,Brooklyn
Bedford Ave & Bergen St,Brooklyn
24 St & 41 Ave,Queens
Amsterdam Ave & W 125 St,Manhattan
E 65 St & 2 Ave,Manhattan
Carroll St & 6 Ave,Brooklyn
34 Ave & 38 St,Queens
E 25 St & 1 Ave,Manhattan
E 84 St & 1 Ave,Manhattan
Division Ave & Hooper St,Brooklyn
Frederick Douglass Blvd & W 117 St,Manhattan
E 2 St & 2 Ave,Manhattan
Fulton St & Broadway,Manhattan
E 10 St & 5 Ave,Manhattan
W 34 St & 11 Ave,Manhattan
E 47 St & 2 Ave,Manhattan
Brooklyn Bridge Park - Pier 2,Brooklyn
Washington Pl & 6 Ave,Manhattan
W 54 St & 9 Ave,Manhattan
Amsterdam Ave & W 79 St,Manhattan
St Marks Pl & 1 Ave,Manhattan
Franklin St & W Broadway,Manhattan
Richards St & Delavan St,Brooklyn
Carmine St & 6 Ave,Manhattan
1 Ave & E 68 St,Manhattan
Willoughby St & Fleet St,Brooklyn
N 6 St & Bedford Ave,Brooklyn
Bedford Ave & S 9 St,Brooklyn
Columbia St & Degraw St,Brooklyn
Washington Ave & Park Ave,Brooklyn
W 36 St & 9 Ave,Manhattan
Bergen St & Flatbush Ave,Brooklyn
7 St & 3 Ave,Brooklyn
